Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125p_02,287641.98,2476401.63,-5.6,-2.68,-1.6,-1.23
Livs0125p_02,287642.02,2476401.73,-5.5,-2.84,-1.41,-1.23
Livs0125p_02,287642.06,2476401.83,-5.33,-2.75,-1.41,-0.79
Livs0125p_02,287642.09,2476401.93,-5.59,-3.21,-1.41,-0.97
Livs0125p_02,287642.13,2476402.03,-5.94,-3.28,-1.59,-0.97
Livs0125p_02,287642.17,2476402.14,-5.5,-2.92,-1.41,-0.98
Livs0125p_02,287642.2,2476402.24,-4.87,-2.41,-0.88,-0.96
Livs0125p_02,287642.22,2476402.33,-4.52,-1.96,-0.98,-0.98
Livs0125p_02,287642.24,2476402.43,-4.17,-1.88,-1.15,-0.97
Livs0125p_02,287642.26,2476402.53,-3.72,-1.77,-0.98,-0.7
Livs0125p_02,287642.28,2476402.63,-2.93,-1.34,-0.98,-0.52
Livs0125p_02,287642.3,2476402.73,-2.57,-0.98,-0.62,-0.17
Livs0125p_02,287642.32,2476402.83,-2.3,-0.62,-0.27,0.01
Livs0125p_02,287642.34,2476402.93,-2.39,-0.55,-0.17,0.08
Livs0125p_02,287642.36,2476403.02,-2.65,-0.63,-0.43,0.35
Livs0125p_02,287642.37,2476403.12,-3.54,-1.15,-0.43,0.26
Livs0125p_02,287642.37,2476403.22,-4.32,-1.69,-0.61,0.1
Livs0125p_02,287642.37,2476403.32,-5.05,-2.32,-0.69,-0.08
Livs0125p_02,287642.37,2476403.42,-5.85,-2.85,-0.87,-0.17
Livs0125p_02,287642.37,2476403.52,-6.28,-3.12,-1.32,-0.53
Livs0125p_02,287642.37,2476403.62,-6.46,-3.39,-1.31,-0.52
Livs0125p_02,287642.37,2476403.72,-6.46,-3.29,-1.31,-0.8
Livs0125p_02,287642.37,2476403.81,-6.73,-3.37,-1.51,-0.89
Livs0125p_02,287642.37,2476403.91,-7,-3.3,-1.58,-0.7
Livs0125p_02,287642.37,2476404.01,-7,-3.37,-1.41,-0.78
Livs0125p_02,287642.36,2476404.11,-6.91,-3.38,-1.49,-0.8
Livs0125p_02,287642.35,2476404.22,-6.99,-3.47,-1.33,-0.8
Livs0125p_02,287642.34,2476404.32,-6.83,-3.3,-1.32,-0.62
Livs0125p_02,287642.32,2476404.42,-7,-3.57,-1.51,-0.63
Livs0125p_02,287642.31,2476404.52,-6.74,-3.39,-1.5,-0.62
Livs0125p_02,287642.3,2476404.62,-6.48,-3.29,-1.6,-0.62
Livs0125p_02,287642.28,2476404.72,-6.39,-2.84,-1.5,-0.35
Livs0125p_02,287642.27,2476404.82,-6.39,-2.92,-1.31,-0.35
Livs0125p_02,287642.26,2476404.92,-6.31,-3.19,-1.14,-0.44
Livs0125p_02,287642.23,2476405.01,-6.39,-3.72,-1.42,-0.62
Livs0125p_02,287642.2,2476405.1,-6.58,-3.83,-1.4,-0.8
