Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125a_01,287585.95,2476410.38,-0.04,0.02,0.2,-0.12
Livs0125a_01,287585.95,2476410.38,0.14,0.11,0.19,-0.03
Livs0125a_01,287585.95,2476410.38,0.33,0.03,0.11,-0.04
Livs0125a_01,287585.95,2476410.38,0.23,-0.08,0.01,0.08
Livs0125a_01,287585.95,2476410.38,0.22,0.02,0.01,-0.11
Livs0125a_01,287585.95,2476410.38,0.41,0.21,0.2,-0.02
Livs0125a_01,287585.95,2476410.38,0.59,0.3,0.1,-0.02
Livs0125a_01,287585.95,2476410.38,0.51,0.1,0.2,-0.11
Livs0125a_01,287585.95,2476410.38,0.23,-0.07,0.2,-0.13
Livs0125a_01,287585.95,2476410.38,-0.06,-0.07,0.1,-0.12
Livs0125a_01,287585.94,2476410.39,0.04,-0.26,0.1,-0.13
Livs0125a_01,287585.92,2476410.39,0.13,-0.08,0.1,-0.11
Livs0125a_01,287585.9,2476410.4,0.03,0.11,0.47,0.35
Livs0125a_01,287585.87,2476410.41,-0.42,-0.27,0.09,0.26
Livs0125a_01,287585.84,2476410.42,-1.46,-0.73,-0.28,0.05
Livs0125a_01,287585.82,2476410.42,-1.74,-0.82,-0.47,-0.21
Livs0125a_01,287585.79,2476410.43,-1.94,-0.81,-0.55,-0.03
Livs0125a_01,287585.76,2476410.44,-2.39,-0.9,-0.46,-0.03
Livs0125a_01,287585.74,2476410.45,-2.49,-1.37,-0.55,-0.03
Livs0125a_01,287585.7,2476410.46,-2.97,-1.85,-0.55,-0.22
Livs0125a_01,287585.65,2476410.47,-3.23,-1.93,-0.64,-0.31
Livs0125a_01,287585.58,2476410.49,-3.61,-2.14,-0.73,-0.39
Livs0125a_01,287585.51,2476410.51,-3.7,-1.95,-0.63,-0.23
Livs0125a_01,287585.44,2476410.53,-3.62,-1.76,-0.64,-0.22
Livs0125a_01,287585.38,2476410.55,-3.71,-1.77,-0.84,-0.32
Livs0125a_01,287585.31,2476410.57,-3.9,-1.66,-0.83,-0.41
Livs0125a_01,287585.24,2476410.59,-3.8,-1.39,-0.74,-0.32
Livs0125a_01,287585.18,2476410.61,-3.72,-1.75,-0.63,-0.51
Livs0125a_01,287585.11,2476410.63,-3.89,-2.05,-0.65,-0.51
Livs0125a_01,287585.04,2476410.66,-4.26,-2.21,-0.54,-0.39
Livs0125a_01,287584.96,2476410.68,-4.17,-1.84,-0.36,-0.03
Livs0125a_01,287584.89,2476410.71,-3.8,-1.37,0.01,0.25
Livs0125a_01,287584.81,2476410.73,-3.62,-1.3,0.2,0.43
Livs0125a_01,287584.74,2476410.75,-3.52,-1.56,0.21,0.33
Livs0125a_01,287584.67,2476410.78,-3.7,-2.03,0.02,0.26
Livs0125a_01,287584.59,2476410.8,-3.62,-1.86,0.11,0.25
Livs0125a_01,287584.52,2476410.83,-3.89,-1.58,0.1,0.34
Livs0125a_01,287584.46,2476410.85,-3.7,-1.39,0.1,0.33
Livs0125a_01,287584.48,2476410.86,-3.53,-1.57,0.21,0.43
Livs0125a_01,287584.58,2476410.86,-3.79,-1.86,-0.08,0.44
Livs0125a_01,287584.68,2476410.86,-4.07,-2.14,-0.46,-0.02
Livs0125a_01,287584.77,2476410.86,-4.28,-2.13,-0.63,-0.22
Livs0125a_01,287584.87,2476410.86,-4.17,-1.94,-0.36,-0.13
Livs0125a_01,287584.97,2476410.86,-4.27,-2.03,-0.35,-0.23
Livs0125a_01,287585.07,2476410.87,-4.64,-2.42,-0.73,-0.59
Livs0125a_01,287585.17,2476410.87,-4.46,-2.31,-1.03,-0.88
Livs0125a_01,287585.27,2476410.87,-3.82,-1.84,-0.84,-0.68
Livs0125a_01,287585.36,2476410.87,-3.16,-1.28,-0.47,-0.02
Livs0125a_01,287585.45,2476410.87,-3.26,-1.39,-0.46,0.06
Livs0125a_01,287585.54,2476410.87,-3.45,-1.29,-0.37,0.35
Livs0125a_01,287585.63,2476410.87,-3.64,-1.4,-0.27,0.06
Livs0125a_01,287585.73,2476410.87,-3.93,-1.67,-0.65,-0.23
Livs0125a_01,287585.82,2476410.87,-4.68,-2.32,-0.84,-0.4
Livs0125a_01,287585.91,2476410.87,-5.05,-2.71,-0.82,-0.12
Livs0125a_01,287586,2476410.87,-6.27,-3.63,-1.11,-0.23
Livs0125a_01,287586.09,2476410.88,-6.93,-4.11,-1.5,-0.4
Livs0125a_01,287586.18,2476410.88,-7.13,-4.2,-1.67,-0.5
Livs0125a_01,287586.26,2476410.88,-5.08,-2.42,-0.92,-0.22
Livs0125a_01,287586.34,2476410.88,-0.7,1.04,0.94,0.91
Livs0125a_01,287586.42,2476410.88,10.23,9.35,3.93,2.39
Livs0125a_01,287586.51,2476410.88,21.52,17.94,10.01,5.1
Livs0125a_01,287586.59,2476410.88,36.1,28.88,15.98,7.91
Livs0125a_01,287586.67,2476410.88,60.3,46.93,26.17,12.75
Livs0125a_01,287586.75,2476410.88,81.42,62.45,35.15,17.26
Livs0125a_01,287586.84,2476410.88,118.17,88.99,45.73,22.38
Livs0125a_01,287586.92,2476410.88,141.82,105.45,59.92,29.03
Livs0125a_01,287587.01,2476410.88,154.36,112.76,64.8,30.9
Livs0125a_01,287587.1,2476410.88,145.87,103.89,61.53,28.76
Livs0125a_01,287587.2,2476410.88,125.38,87.25,53.6,24.46
Livs0125a_01,287587.29,2476410.88,86.78,57.98,43.01,19.31
Livs0125a_01,287587.38,2476410.88,60.39,38.82,27.69,12.11
Livs0125a_01,287587.47,2476410.88,38.22,23.38,18.63,7.89
Livs0125a_01,287587.56,2476410.88,15.97,8.88,11.78,4.81
Livs0125a_01,287587.66,2476410.88,6.24,2.99,5.33,1.74
Livs0125a_01,287587.75,2476410.88,-1.08,-0.86,2.61,0.79
Livs0125a_01,287587.84,2476410.88,-3.51,-1.5,0.93,0.5
Livs0125a_01,287587.94,2476410.88,-4.63,-2.07,0.27,0.34
Livs0125a_01,287588.04,2476410.89,-5.3,-2.25,-0.1,0.14
Livs0125a_01,287588.14,2476410.89,-5.57,-2.34,-0.65,-0.32
Livs0125a_01,287588.23,2476410.89,-5.39,-2.34,-0.66,-0.33
Livs0125a_01,287588.33,2476410.89,-5.38,-2.26,-0.55,-0.24
Livs0125a_01,287588.43,2476410.89,-5.96,-2.72,-0.75,-0.42
Livs0125a_01,287588.52,2476410.9,-6.33,-3.27,-1.11,-0.7
Livs0125a_01,287588.62,2476410.9,-6.14,-2.92,-0.84,-0.41
Livs0125a_01,287588.73,2476410.9,-6.6,-3.36,-1.22,-0.69
Livs0125a_01,287588.84,2476410.89,-6.4,-3.2,-1.12,-0.42
Livs0125a_01,287588.95,2476410.89,-6.49,-3.37,-1.13,-0.24
Livs0125a_01,287589.06,2476410.89,-6.13,-2.81,-0.92,0.05
Livs0125a_01,287589.18,2476410.89,-5.39,-1.97,0.1,0.9
Livs0125a_01,287589.29,2476410.89,-4.8,-1.6,0.11,0.89
Livs0125a_01,287589.4,2476410.89,-2.95,-0.27,0.56,0.7
Livs0125a_01,287589.51,2476410.88,0.7,2.34,2.07,1.36
Livs0125a_01,287589.62,2476410.88,8.48,8.33,4.3,2.39
Livs0125a_01,287589.73,2476410.88,15.12,13.29,7.77,3.8
Livs0125a_01,287589.84,2476410.88,25.13,20.47,10.75,5.18
Livs0125a_01,287589.95,2476410.88,30.84,24.41,14.4,7.05
Livs0125a_01,287590.06,2476410.88,34.59,26.85,16.08,8.09
Livs0125a_01,287590.17,2476410.88,33.93,25.53,16.27,8.28
Livs0125a_01,287590.28,2476410.87,28.88,21.23,13.85,6.88
Livs0125a_01,287590.38,2476410.87,18.23,12.63,10.67,5.2
Livs0125a_01,287590.49,2476410.87,10.37,6.82,5.71,2.21
Livs0125a_01,287590.6,2476410.87,3.74,2.26,2.9,0.62
Livs0125a_01,287590.71,2476410.87,-1.68,-0.83,1.23,-0.04
Livs0125a_01,287590.81,2476410.87,-3.64,-1.76,0.28,-0.24
Livs0125a_01,287590.91,2476410.87,-4.76,-2.35,-0.17,-0.13
Livs0125a_01,287591.01,2476410.86,-5.14,-2.33,-0.37,-0.14
Livs0125a_01,287591.11,2476410.86,-5.13,-2.43,-0.46,-0.03
Livs0125a_01,287591.21,2476410.86,-5.23,-2.51,-0.55,-0.04
Livs0125a_01,287591.31,2476410.86,-5.43,-2.52,-0.74,-0.14
Livs0125a_01,287591.41,2476410.86,-5.42,-2.44,-0.74,-0.22
Livs0125a_01,287591.52,2476410.86,-5.33,-2.15,-0.65,-0.15
Livs0125a_01,287591.61,2476410.85,-5.34,-2.23,-0.65,-0.04
Livs0125a_01,287591.7,2476410.85,-5.15,-2.07,-0.45,0.14
Livs0125a_01,287591.8,2476410.85,-5.16,-2.16,-0.29,0.25
Livs0125a_01,287591.89,2476410.85,-5.43,-2.33,-0.36,0.06
Livs0125a_01,287591.98,2476410.85,-5.81,-2.61,-0.56,0.05
Livs0125a_01,287592.07,2476410.84,-6.08,-3,-0.84,-0.14
Livs0125a_01,287592.16,2476410.84,-6.46,-3.37,-1.03,-0.23
Livs0125a_01,287592.26,2476410.84,-6.28,-3.45,-1.12,-0.31
Livs0125a_01,287592.35,2476410.84,-5.16,-2.43,-0.56,0.13
Livs0125a_01,287592.44,2476410.84,-1.62,0.47,1.12,1.17
Livs0125a_01,287592.53,2476410.83,2.86,4.29,3.1,2.02
Livs0125a_01,287592.63,2476410.83,14.57,13.46,5.98,3.41
Livs0125a_01,287592.73,2476410.83,28.02,23.86,13.47,6.88
Livs0125a_01,287592.82,2476410.83,45.89,37.23,21.04,10.9
Livs0125a_01,287592.92,2476410.83,75.83,58.66,33.22,16.51
Livs0125a_01,287593.01,2476410.83,95.95,72.78,41.54,20.36
Livs0125a_01,287593.11,2476410.82,113.25,83.64,47.16,22.96
Livs0125a_01,287593.21,2476410.82,111.87,81.04,47.91,22.78
Livs0125a_01,287593.3,2476410.82,99.03,70.46,42.86,20.07
Livs0125a_01,287593.4,2476410.82,69.75,47.83,31.27,14.19
Livs0125a_01,287593.51,2476410.82,47.95,31.8,22.55,9.88
Livs0125a_01,287593.61,2476410.82,22.58,14.03,15.16,6.31
Livs0125a_01,287593.71,2476410.82,10.3,6.26,7.48,2.93
Livs0125a_01,287593.81,2476410.82,2.64,1.48,4.22,1.74
Livs0125a_01,287593.91,2476410.82,-3.55,-1.99,1.22,0.59
Livs0125a_01,287594.01,2476410.82,-5.52,-3.1,0.19,0.14
Livs0125a_01,287594.12,2476410.82,-6.35,-3.39,-0.37,-0.14
Livs0125a_01,287594.22,2476410.82,-6.37,-3.1,-0.75,-0.05
Livs0125a_01,287594.31,2476410.82,-6.28,-2.92,-0.74,-0.05
Livs0125a_01,287594.4,2476410.81,-6.1,-2.53,-0.76,0.03
Livs0125a_01,287594.49,2476410.81,-5.71,-2.17,-0.2,0.6
Livs0125a_01,287594.59,2476410.81,-6.1,-2.55,-0.18,0.61
Livs0125a_01,287594.68,2476410.81,-6.47,-2.92,-0.94,0.13
Livs0125a_01,287594.77,2476410.81,-6.66,-3.28,-1.04,-0.33
Livs0125a_01,287594.86,2476410.8,-6.47,-3,-1.03,-0.33
Livs0125a_01,287594.95,2476410.8,-6.28,-3.02,-0.94,-0.15
Livs0125a_01,287595.05,2476410.8,-6.38,-3.11,-0.74,-0.05
Livs0125a_01,287595.15,2476410.8,-6.55,-3.28,-0.75,0.23
Livs0125a_01,287595.25,2476410.8,-6.93,-3.57,-1.03,-0.06
Livs0125a_01,287595.35,2476410.8,-6.75,-3.09,-0.93,-0.14
Livs0125a_01,287595.45,2476410.8,-5.9,-2.26,-0.55,0.04
Livs0125a_01,287595.56,2476410.8,-3.65,-0.49,0.08,0.23
Livs0125a_01,287595.66,2476410.8,-1.68,1.1,1.22,0.88
Livs0125a_01,287595.76,2476410.79,0.68,2.9,2.25,1.54
Livs0125a_01,287595.86,2476410.79,2.83,4.31,2.99,2.01
Livs0125a_01,287595.97,2476410.79,3.84,4.67,3.37,2.21
Livs0125a_01,287596.07,2476410.79,3.77,4.1,3.27,2.01
Livs0125a_01,287596.18,2476410.79,2.92,3.18,2.8,1.54
Livs0125a_01,287596.3,2476410.79,1.43,2.06,2.15,1.34
Livs0125a_01,287596.41,2476410.79,-0.72,0.56,1.58,0.98
Livs0125a_01,287596.52,2476410.79,-2.04,-0.3,0.83,0.8
Livs0125a_01,287596.63,2476410.79,-3.53,-1.14,0.47,0.6
Livs0125a_01,287596.74,2476410.79,-4.55,-2.08,-0.28,0.23
Livs0125a_01,287596.86,2476410.79,-5.51,-2.83,-0.75,-0.14
Livs0125a_01,287596.97,2476410.78,-6.62,-3.47,-0.94,-0.25
Livs0125a_01,287597.08,2476410.78,-6.98,-3.55,-1.13,-0.13
Livs0125a_01,287597.18,2476410.78,-7.93,-4.32,-1.41,-0.32
Livs0125a_01,287597.29,2476410.78,-8.4,-4.69,-1.97,-0.7
Livs0125a_01,287597.39,2476410.78,-8.4,-4.79,-1.98,-0.71
Livs0125a_01,287597.5,2476410.78,-8.4,-4.22,-1.77,-0.52
Livs0125a_01,287597.6,2476410.77,-8.31,-3.83,-1.22,-0.15
Livs0125a_01,287597.71,2476410.77,-7.82,-3.27,-1.04,-0.05
Livs0125a_01,287597.81,2476410.77,-7.45,-3,-0.83,-0.05
Livs0125a_01,287597.92,2476410.77,-6.7,-2.63,-0.74,0.14
Livs0125a_01,287598.02,2476410.77,-5.5,-1.8,-0.36,0.31
Livs0125a_01,287598.12,2476410.76,-4.09,-0.75,0.55,0.8
Livs0125a_01,287598.22,2476410.76,-2.69,0.46,1.22,1.26
Livs0125a_01,287598.32,2476410.76,-1.96,0.93,1.5,1.06
Livs0125a_01,287598.42,2476410.76,-2.43,0.64,1.12,0.71
Livs0125a_01,287598.52,2476410.76,-4.11,-0.84,0.76,0.22
Livs0125a_01,287598.62,2476410.75,-6.27,-2.81,-0.65,-0.16
Livs0125a_01,287598.72,2476410.75,-9.27,-5.25,-1.87,-0.71
Livs0125a_01,287598.82,2476410.75,-13.11,-8.33,-3.84,-1.93
Livs0125a_01,287598.92,2476410.75,-14.33,-9.2,-4.68,-2.48
Livs0125a_01,287599.02,2476410.75,-12.66,-7.89,-4.68,-2.58
Livs0125a_01,287599.12,2476410.75,-9.85,-5.54,-3.09,-1.36
Livs0125a_01,287599.21,2476410.75,-5.82,-2.53,-1.42,-0.43
Livs0125a_01,287599.31,2476410.75,-0.01,1.66,1.02,0.88
Livs0125a_01,287599.41,2476410.75,3.44,4.3,2.63,1.72
Livs0125a_01,287599.51,2476410.75,6.42,6.64,4.03,2.39
Livs0125a_01,287599.61,2476410.75,6.8,6.91,4.67,2.94
Livs0125a_01,287599.71,2476410.75,5.86,6.26,4.39,2.65
Livs0125a_01,287599.8,2476410.75,3.51,4.29,3.74,2.29
Livs0125a_01,287599.89,2476410.75,1.72,2.88,3.37,2.2
Livs0125a_01,287599.98,2476410.75,-1.29,0.45,2.52,1.72
Livs0125a_01,287600.07,2476410.75,-3.26,-1.14,0.94,0.61
Livs0125a_01,287600.16,2476410.76,-4.48,-1.98,0.17,0.23
Livs0125a_01,287600.25,2476410.76,-5.99,-2.74,-0.18,0.13
Livs0125a_01,287600.34,2476410.76,-6.37,-2.73,-0.38,0.22
Livs0125a_01,287600.43,2476410.76,-6.85,-2.83,-0.28,0.41
Livs0125a_01,287600.52,2476410.76,-7.03,-3.2,-0.65,0.13
Livs0125a_01,287600.61,2476410.77,-7.03,-3.4,-0.85,-0.07
Livs0125a_01,287600.69,2476410.77,-6.86,-3.2,-0.85,0.04
Livs0125a_01,287600.77,2476410.77,-6.49,-2.74,-0.48,0.31
Livs0125a_01,287600.84,2476410.77,-5.74,-2.18,-0.29,0.49
Livs0125a_01,287600.92,2476410.77,-5.35,-1.62,0.18,0.5
Livs0125a_01,287601,2476410.77,-4.42,-0.68,0.55,0.69
Livs0125a_01,287601.08,2476410.77,-2.35,1.18,1.4,1.15
Livs0125a_01,287601.15,2476410.77,-0.38,2.4,2.43,1.61
Livs0125a_01,287601.23,2476410.76,2.33,4.2,3.28,2.09
Livs0125a_01,287601.31,2476410.76,3.92,5.13,4.22,2.27
Livs0125a_01,287601.39,2476410.77,5.06,5.78,4.59,2.47
Livs0125a_01,287601.47,2476410.77,5.44,5.7,4.77,2.28
Livs0125a_01,287601.56,2476410.77,5.34,5.4,4.6,2.28
Livs0125a_01,287601.64,2476410.77,4.97,5.23,4.41,2.37
Livs0125a_01,287601.73,2476410.77,4.97,4.85,4.03,1.99
Livs0125a_01,287601.81,2476410.77,5.43,5.12,3.84,1.92
Livs0125a_01,287601.9,2476410.77,6.37,5.59,3.84,1.82
Livs0125a_01,287601.98,2476410.77,6.93,5.88,3.57,1.72
Livs0125a_01,287602.07,2476410.78,10.14,8.04,4.03,1.92
Livs0125a_01,287602.16,2476410.78,16.03,12.35,6.55,3.12
Livs0125a_01,287602.28,2476410.78,24.66,18.92,10.21,4.92
Livs0125a_01,287602.39,2476410.78,37.51,28.57,14.52,7.33
Livs0125a_01,287602.5,2476410.78,41.92,31.57,18.36,9.51
Livs0125a_01,287602.61,2476410.78,38.82,28.65,18.27,9.3
Livs0125a_01,287602.73,2476410.79,31.49,23.13,15.09,7.53
Livs0125a_01,287602.84,2476410.79,22.7,16.49,11.82,5.65
Livs0125a_01,287602.95,2476410.79,10.49,7.77,8.35,3.88
Livs0125a_01,287603.06,2476410.79,3.77,3.26,4.31,1.91
Livs0125a_01,287603.17,2476410.79,-2.81,-0.87,2.16,0.97
Livs0125a_01,287603.28,2476410.8,-5.62,-2.46,0.27,0.3
Livs0125a_01,287603.39,2476410.8,-7.2,-3.31,-0.47,-0.06
Livs0125a_01,287603.5,2476410.8,-8.44,-3.87,-1.04,-0.25
Livs0125a_01,287603.61,2476410.8,-8.52,-4.06,-1.33,-0.34
Livs0125a_01,287603.71,2476410.8,-8.33,-3.97,-1.41,-0.43
Livs0125a_01,287603.82,2476410.81,-8.04,-3.76,-1.32,-0.26
Livs0125a_01,287603.93,2476410.81,-7.39,-3.31,-1.14,-0.06
Livs0125a_01,287604.04,2476410.81,-6.36,-2.55,-0.66,0.22
Livs0125a_01,287604.15,2476410.81,-5.61,-1.89,0.09,0.7
Livs0125a_01,287604.26,2476410.81,-5.52,-2,-0.09,0.41
Livs0125a_01,287604.37,2476410.81,-5.63,-2.18,-0.11,0.31
Livs0125a_01,287604.48,2476410.81,-6.84,-3.29,-0.66,-0.07
Livs0125a_01,287604.59,2476410.81,-10.49,-6.12,-1.96,-0.91
Livs0125a_01,287604.7,2476410.81,-12.56,-7.62,-3.76,-2.21
Livs0125a_01,287604.82,2476410.81,-13.78,-8.36,-4.13,-2.31
Livs0125a_01,287604.93,2476410.81,-13.23,-8.1,-4.13,-2.13
Livs0125a_01,287605.04,2476410.82,-11.54,-6.77,-3.67,-1.95
Livs0125a_01,287605.15,2476410.82,-6.95,-3.2,-2.55,-1.37
Livs0125a_01,287605.25,2476410.81,-3.48,-0.58,-0.1,0.12
Livs0125a_01,287605.35,2476410.81,-1.05,1.28,1.02,0.87
Livs0125a_01,287605.45,2476410.81,0.92,2.61,2.06,1.54
Livs0125a_01,287605.55,2476410.81,1.39,2.88,2.52,1.72
Livs0125a_01,287605.65,2476410.81,0.74,2.32,2.8,2.01
Livs0125a_01,287605.75,2476410.81,-0.68,1.09,2.33,1.9
Livs0125a_01,287605.85,2476410.81,-2.38,-0.2,1.69,1.53
Livs0125a_01,287605.95,2476410.81,-4.06,-1.14,1.21,1.16
Livs0125a_01,287606.05,2476410.81,-5.36,-1.81,0.55,0.97
Livs0125a_01,287606.14,2476410.81,-6.21,-2.27,0.36,1.15
Livs0125a_01,287606.23,2476410.81,-6.77,-2.37,0.45,1.73
Livs0125a_01,287606.33,2476410.81,-7.71,-3.31,0.08,1.25
Livs0125a_01,287606.42,2476410.81,-8.94,-4.14,-0.58,0.88
Livs0125a_01,287606.51,2476410.81,-9.32,-4.53,-1.04,0.68
Livs0125a_01,287606.6,2476410.81,-9.5,-4.82,-1.23,0.39
Livs0125a_01,287606.69,2476410.81,-9.58,-4.71,-1.52,0.23
Livs0125a_01,287606.78,2476410.8,-9.96,-4.91,-1.61,0.12
Livs0125a_01,287606.87,2476410.8,-9.76,-4.34,-1.42,0.31
Livs0125a_01,287606.96,2476410.8,-9.48,-4.16,-1.24,0.6
Livs0125a_01,287607.04,2476410.81,-9.85,-4.15,-1.14,0.59
Livs0125a_01,287607.13,2476410.81,-10.13,-4.8,-1.69,-0.24
Livs0125a_01,287607.21,2476410.81,-10.51,-5.26,-2.16,-0.71
Livs0125a_01,287607.29,2476410.81,-10.2,-5.45,-2.35,-1
Livs0125a_01,287607.37,2476410.81,-9.75,-5.27,-2.36,-0.82
Livs0125a_01,287607.46,2476410.81,-8.69,-4.51,-1.88,-0.62
Livs0125a_01,287607.54,2476410.81,-7.77,-3.59,-1.04,-0.06
Livs0125a_01,287607.62,2476410.81,-6.63,-2.56,-0.57,0.22
Livs0125a_01,287607.71,2476410.82,-3.9,-0.57,0.28,0.41
Livs0125a_01,287607.79,2476410.82,-0.61,1.67,1.96,1.26
Livs0125a_01,287607.87,2476410.82,6.22,6.72,3.73,1.99
Livs0125a_01,287607.96,2476410.82,12.14,11.13,7.12,3.7
Livs0125a_01,287608.04,2476410.82,18.04,15.26,9.54,4.72
Livs0125a_01,287608.13,2476410.83,24.78,19.66,11.41,5.67
Livs0125a_01,287608.21,2476410.83,27.71,21.42,13.11,6.41
Livs0125a_01,287608.3,2476410.83,29.68,22.56,13.76,6.68
Livs0125a_01,287608.38,2476410.83,28.92,21.91,13.95,6.88
Livs0125a_01,287608.47,2476410.83,26.2,19.64,13.11,6.78
Livs0125a_01,287608.56,2476410.83,18.91,14.03,11.14,5.67
Livs0125a_01,287608.66,2476410.83,13.48,10.01,8.05,3.96
Livs0125a_01,287608.75,2476410.83,6.19,4.77,6,2.84
Livs0125a_01,287608.85,2476410.83,2.05,2.14,3.38,1.53
Livs0125a_01,287608.94,2476410.83,-0.92,0.36,2.05,1.07
Livs0125a_01,287609.04,2476410.83,-3.74,-1.51,0.84,0.51
Livs0125a_01,287609.13,2476410.83,-4.75,-2.16,-0.18,0.04
Livs0125a_01,287609.23,2476410.83,-6.16,-3.19,-0.65,-0.13
Livs0125a_01,287609.32,2476410.83,-6.91,-3.86,-1.31,-0.6
Livs0125a_01,287609.43,2476410.84,-7.18,-4.04,-1.5,-0.61
Livs0125a_01,287609.54,2476410.84,-7.74,-4.12,-1.58,-0.71
Livs0125a_01,287609.65,2476410.84,-8.01,-4.23,-1.78,-0.7
Livs0125a_01,287609.75,2476410.84,-7.92,-3.83,-1.78,-0.7
Livs0125a_01,287609.86,2476410.84,-7.92,-3.65,-1.13,0.24
Livs0125a_01,287609.97,2476410.84,-8.02,-3.66,-1.03,0.41
Livs0125a_01,287610.08,2476410.84,-9.22,-5.15,-1.59,-0.04
Livs0125a_01,287610.18,2476410.84,-9.89,-5.8,-2.72,-1.55
Livs0125a_01,287610.3,2476410.84,-9.04,-4.79,-2.43,-1.36
Livs0125a_01,287610.41,2476410.84,-8.58,-4.21,-1.97,-0.81
Livs0125a_01,287610.53,2476410.84,-8.38,-4.3,-2.07,-0.7
Livs0125a_01,287610.65,2476410.84,-7.36,-3.56,-1.78,-0.62
Livs0125a_01,287610.78,2476410.84,-6.22,-2.9,-1.41,-0.52
Livs0125a_01,287610.9,2476410.84,-4.18,-1.61,-0.85,-0.43
Livs0125a_01,287611.02,2476410.84,0.97,1.87,1.03,0.78
Livs0125a_01,287611.14,2476410.84,4.9,4.21,2.15,1.34
Livs0125a_01,287611.26,2476410.84,9.76,7.11,3.29,1.82
Livs0125a_01,287611.38,2476410.83,12.19,8.51,4.68,2.3
Livs0125a_01,287611.5,2476410.83,12.19,8.24,4.97,2.57
Livs0125a_01,287611.62,2476410.83,9.38,6.25,4.49,2.66
Livs0125a_01,287611.74,2476410.83,6.19,4.02,3.37,2.29
Livs0125a_01,287611.86,2476410.82,1.71,1.31,2.43,1.63
Livs0125a_01,287611.98,2476410.82,-1.77,-1.13,0.29,0.04
Livs0125a_01,287612.11,2476410.82,-4.11,-2.54,-0.48,-0.81
Livs0125a_01,287612.23,2476410.82,-6.53,-3.75,-1.3,-1.17
Livs0125a_01,287612.35,2476410.81,-6.92,-3.66,-1.23,-0.99
Livs0125a_01,287612.47,2476410.81,-7.21,-3.57,-1.31,-0.98
Livs0125a_01,287612.57,2476410.81,-7.77,-3.86,-1.87,-1.45
Livs0125a_01,287612.67,2476410.81,-8.21,-4.31,-2.25,-1.75
Livs0125a_01,287612.77,2476410.81,-7.01,-3.47,-2.14,-1.64
Livs0125a_01,287612.87,2476410.81,-4.49,-1.79,-1.3,-1.18
Livs0125a_01,287612.97,2476410.8,0.02,1.11,-0.19,-0.44
Livs0125a_01,287613.08,2476410.8,1.98,2.14,0.75,0.03
Livs0125a_01,287613.18,2476410.8,3.2,2.7,1.31,0.42
Livs0125a_01,287613.28,2476410.8,2.35,2.15,1.4,0.51
Livs0125a_01,287613.38,2476410.8,0.68,1.03,0.94,0.5
Livs0125a_01,287613.48,2476410.8,-2.03,-0.56,0.56,0.52
Livs0125a_01,287613.58,2476410.8,-3.62,-1.7,-0.18,0.06
Livs0125a_01,287613.68,2476410.8,-4.16,-2.15,-0.28,-0.04
Livs0125a_01,287613.79,2476410.8,-3.22,-1.32,0.08,0.22
Livs0125a_01,287613.89,2476410.8,-1.91,-0.37,0.67,0.61
Livs0125a_01,287613.99,2476410.8,0.16,0.84,0.75,0.23
Livs0125a_01,287614.1,2476410.8,2.4,2.43,1.3,-0.04
Livs0125a_01,287614.2,2476410.79,5.03,4.38,2.16,0.14
Livs0125a_01,287614.3,2476410.79,8.03,6.72,3.17,0.6
Livs0125a_01,287614.41,2476410.79,8.57,7.47,4.12,1.56
Livs0125a_01,287614.51,2476410.79,7,6.26,4.13,1.83
Livs0125a_01,287614.61,2476410.79,4.85,4.85,3.65,2.01
Livs0125a_01,287614.72,2476410.79,2.43,3.09,2.8,1.83
Livs0125a_01,287614.82,2476410.79,-1.87,-0.29,1.51,0.88
Livs0125a_01,287614.92,2476410.79,-4.39,-1.96,0.01,0.05
Livs0125a_01,287615.03,2476410.79,-7,-3.45,-0.74,-0.42
Livs0125a_01,287615.13,2476410.78,-8.21,-4.1,-1.57,-0.98
Livs0125a_01,287615.23,2476410.78,-9.04,-4.58,-1.95,-1.24
Livs0125a_01,287615.33,2476410.78,-9.88,-5.4,-2.52,-1.44
Livs0125a_01,287615.43,2476410.78,-9.95,-5.41,-2.89,-1.72
Livs0125a_01,287615.53,2476410.78,-9.21,-4.47,-2.42,-1.24
Livs0125a_01,287615.63,2476410.78,-8.84,-4.2,-1.86,-0.79
Livs0125a_01,287615.72,2476410.78,-8.45,-4,-1.77,-0.6
Livs0125a_01,287615.82,2476410.77,-8.06,-3.82,-1.67,-0.31
Livs0125a_01,287615.92,2476410.77,-8.35,-4.19,-1.66,-0.32
Livs0125a_01,287616.01,2476410.77,-9.28,-4.85,-2.05,-0.78
Livs0125a_01,287616.11,2476410.77,-9.37,-5.12,-2.41,-1.16
Livs0125a_01,287616.21,2476410.77,-9.37,-5.13,-2.32,-1.34
Livs0125a_01,287616.3,2476410.77,-9.18,-5.03,-2.32,-1.25
Livs0125a_01,287616.39,2476410.77,-8.98,-5.02,-2.32,-1.26
Livs0125a_01,287616.47,2476410.77,-8.62,-4.75,-2.23,-1.17
Livs0125a_01,287616.56,2476410.77,-8.06,-4.19,-1.77,-0.78
Livs0125a_01,287616.65,2476410.77,-7.88,-4,-1.57,-0.5
Livs0125a_01,287616.74,2476410.77,-7.87,-4.1,-1.5,-0.31
